Customer Key,Geography Key,First Name,Last Name,Full Name,Gender,Gender Role,Data First Purchase,Customer City
11000,26,Jon,Yang,Jon Yang,M,Male,2020-01-19,Rockhampton
11001,37,Eugene,Huang,Eugene Huang,M,Male,2020-01-15,Seaford
11002,31,Ruben,Torres,Ruben Torres,M,Male,2020-01-07,Hobart
11003,11,Christy,Zhu,Christy Zhu,F,Female,2019-12-29,North Ryde
11004,19,Elizabeth,Johnson,Elizabeth Johnson,F,Female,2020-01-23,Wollongong
11005,22,Julio,Ruiz,Julio Ruiz,M,Male,2019-12-30,East Brisbane
11006,8,Janet,Alvarez,Janet Alvarez,F,Female,2020-01-24,Matraville
11007,40,Marco,Mehta,Marco Mehta,M,Male,2020-01-09,Warrnambool
11008,32,Rob,Verhoff,Rob Verhoff,F,Female,2020-01-25,Bendigo
11009,25,Shannon,Carlson,Shannon Carlson,M,Male,2020-01-27,Hervey Bay
11010,22,Jacquelyn,Suarez,Jacquelyn Suarez,F,Female,2020-01-14,East Brisbane
11011,22,Curtis,Lu,Curtis Lu,M,Male,2019-12-30,East Brisbane
11012,611,Lauren,Walker,Lauren Walker,F,Female,2022-03-16,Bremerton
11013,543,Ian,Jenkins,Ian Jenkins,M,Male,2022-04-13,Lebanon
11014,634,Sydney,Bennett,Sydney Bennett,F,Female,2022-03-23,Redmond
11015,301,Chloe,Young,Chloe Young,F,Female,2022-01-18,Burbank
11016,329,Wyatt,Hill,Wyatt Hill,M,Male,2022-02-09,Imperial Beach
11017,39,Shannon,Wang,Shannon Wang,F,Female,2020-01-12,Sunbury
11018,32,Clarence,Rai,Clarence Rai,M,Male,2020-01-17,Bendigo
11019,52,Luke,Lal,Luke Lal,M,Male,2022-02-12,Langley
11020,53,Jordan,King,Jordan King,M,Male,2021-12-29,Metchosin
11021,536,Destiny,Wilson,Destiny Wilson,F,Female,2022-01-23,Beaverton
11022,609,Ethan,Zhang,Ethan Zhang,M,Male,2022-01-20,Bellingham
11023,298,Seth,Edwards,Seth Edwards,M,Male,2022-02-17,Bellflower
11024,311,Russell,Xie,Russell Xie,M,Male,2022-06-27,Concord
11025,24,Alejandro,Beck,Alejandro Beck,M,Male,2020-01-06,Hawthorne
11026,4,Harold,Sai,Harold Sai,M,Male,2020-01-23,Goulburn
11027,40,Jessie,Zhao,Jessie Zhao,M,Male,2020-01-16,Warrnambool
11028,17,Jill,Jimenez,Jill Jimenez,F,Female,2020-01-26,St. Leonards
11029,32,Jimmy,Moreno,Jimmy Moreno,M,Male,2020-01-19,Bendigo
11030,28,Bethany,Yuan,Bethany Yuan,F,Female,2020-02-05,Cloverdale
11031,8,Theresa,Ramos,Theresa Ramos,F,Female,2020-02-01,Matraville
11032,35,Denise,Stone,Denise Stone,F,Female,2020-02-18,Melbourne
11033,9,Jaime,Nath,Jaime Nath,M,Male,2020-02-15,Milsons Point
11034,12,Ebony,Gonzalez,Ebony Gonzalez,F,Female,2020-02-01,North Sydney
11035,33,Wendy,Dominguez,Wendy Dominguez,F,Female,2020-02-06,Cranbourne
11036,343,Jennifer,Russell,Jennifer Russell,F,Female,2022-01-22,National City
11037,49,Chloe,Garcia,Chloe Garcia,F,Female,2022-01-20,Cliffside
11038,6,Diana,Hernandez,Diana Hernandez,F,Female,2020-02-07,Lavender Bay
11039,19,Marc,Martin,Marc Martin,M,Male,2020-02-07,Wollongong
11040,642,Jesse,Murphy,Jesse Murphy,M,Male,2022-04-03,Tacoma
11041,325,Amanda,Carter,Amanda Carter,F,Female,2022-01-14,Glendale
11042,338,Megan,Sanchez,Megan Sanchez,F,Female,2022-01-21,Los Angeles
11043,325,Nathan,Simmons,Nathan Simmons,M,Male,2022-05-08,Glendale
11044,25,Adam,Flores,Adam Flores,M,Male,2020-02-28,Hervey Bay
11045,8,Leonard,Nara,Leonard Nara,M,Male,2022-04-10,Matraville
11046,6,Christine,Yuan,Christine Yuan,F,Female,2020-02-06,Lavender Bay
11047,34,Jaclyn,Lu,Jaclyn Lu,F,Female,2020-02-03,Geelong
11048,39,Jeremy,Powell,Jeremy Powell,M,Male,2020-02-10,Sunbury
11049,307,Carol,Rai,Carol Rai,F,Female,2022-03-09,Chula Vista
11050,31,Alan,Zheng,Alan Zheng,M,Male,2020-02-20,Hobart
11051,21,Daniel,Johnson,Daniel Johnson,M,Male,2022-12-29,Caloundra
11052,8,Heidi,Lopez,Heidi Lopez,F,Female,2020-02-17,Matraville
11053,359,Ana,Price,Ana Price,F,Female,2022-01-17,San Diego
11054,34,Deanna,Munoz,Deanna Munoz,F,Female,2020-02-03,Geelong
11055,22,Gilbert,Raje,Gilbert Raje,M,Male,2020-01-31,East Brisbane
11056,10,Michele,Nath,Michele Nath,F,Female,2020-02-26,Newcastle
11057,5,Carl,Andersen,Carl Andersen,M,Male,2020-02-22,Lane Cove
11058,29,Marc,Diaz,Marc Diaz,M,Male,2020-03-09,Findon
11059,27,Ashlee,Andersen,Ashlee Andersen,F,Female,2022-02-18,Townsville
11060,40,Jon,Zhou,Jon Zhou,M,Male,2020-03-19,Warrnambool
11061,23,Todd,Gao,Todd Gao,M,Male,2020-03-13,Gold Coast
11062,547,Noah,Powell,Noah Powell,M,Male,2022-01-07,Portland
11063,634,Angela,Murphy,Angela Murphy,F,Female,2022-01-12,Redmond
11064,315,Chase,Reed,Chase Reed,M,Male,2022-01-25,Downey
11065,331,Jessica,Henderson,Jessica Henderson,F,Female,2022-02-10,La Jolla
11066,543,Grace,Butler,Grace Butler,F,Female,2022-05-31,Lebanon
11067,632,Caleb,Carter,Caleb Carter,M,Male,2022-08-18,Port Orchard
11068,40,Tiffany,Liang,Tiffany Liang,F,Female,2022-04-30,Warrnambool
